character,comic_title,format,date,event
Adam Warlock,"Doctor Strange, Sorcerer Supreme (1988) #36",Comic,1991-12-10 00:00:00+00:00,None
Adam Warlock,Infinity Gauntlet (1991) #5,Comic,1991-11-01 00:00:00+00:00,None
Adam Warlock,"Doctor Strange, Sorcerer Supreme (1988) #32",Comic,1991-08-01 00:00:00+00:00,None
Adam Warlock,"Doctor Strange, Sorcerer Supreme (1988) #27",Comic,1991-03-01 00:00:00+00:00,None
Adam Warlock,Silver Surfer (1987) #47,Comic,1991-03-01 00:00:00+00:00,None
Adam Warlock,Silver Surfer (1987) #46,Comic,1991-02-01 00:00:00+00:00,None
Adam Warlock,Marvel Comics Presents (1988) #71,Comic,1991-01-22 00:00:00+00:00,None
Adam Warlock,Uncanny X-Men (1981) #271,Comic,1990-12-01 00:00:00+00:00,X-Tinction Agenda
Adam Warlock,Uncanny X-Men (1981) #270,Comic,1990-11-01 00:00:00+00:00,X-Tinction Agenda
Adam Warlock,X-Factor Annual (1986) #5,Comic,1990-09-01 00:00:00+00:00,Days of Future Present
Adam Warlock,X-Men Annual (1970) #14,Comic,1990-01-01 00:00:00+00:00,Days of Future Present
Adam Warlock,X-Factor Annual (1986) #4,Comic,1989-01-01 00:00:00+00:00,Atlantis Attacks
Adam Warlock,Uncanny X-Men (1981) #231,Comic,1988-07-01 00:00:00+00:00,None
Adam Warlock,X-Men Annual (1970) #10,Comic,1987-01-01 00:00:00+00:00,None
Adam Warlock,Uncanny X-Men (1981) #213,Comic,1987-01-01 00:00:00+00:00,Mutant Massacre
Adam Warlock,Uncanny X-Men (1981) #201,Comic,1986-01-01 00:00:00+00:00,None
Adam Warlock,Uncanny X-Men (1981) #200,Comic,1985-12-01 00:00:00+00:00,None
Adam Warlock,Secret Wars II (1985) #1,Comic,1985-07-01 00:00:00+00:00,Secret Wars II
Adam Warlock,Uncanny X-Men (1981) #191,Comic,1985-03-01 00:00:00+00:00,None
Adam Warlock,Uncanny X-Men (1981) #190,Comic,1985-02-01 00:00:00+00:00,None
Adam Warlock,X-Men Annual (1970) #9,Comic,1985-01-01 00:00:00+00:00,None
Adam Warlock,New Mutants (1983) #23,Comic,1985-01-01 00:00:00+00:00,None
Adam Warlock,New Mutants Special Edition (1985) #1,Comic,1985-01-01 00:00:00+00:00,None
Adam Warlock,X-Men Annual (1970) #8,Comic,1984-01-01 00:00:00+00:00,None
